x,y,z,fp_x,fp_y,fp_z,B.tot,B.tot.mag,B.canc,B.canc.mag,B.RMF,B.RMF.mag,is.rot
0.01,0.01,0.01,0.0,1.0,0.0,,,,0.000798,[-1.23732802e-05  1.15964060e-03  1.50704278e-04],0.001169,True
0.01,0.01,0.02,0.0,1.0,0.0,,,,0.000798,[-1.47193080e-05  1.31926101e-03  1.67271536e-04],0.00133,True
0.01,0.02,-0.02,0.0,1.0,0.0,,,,0.000798,[-1.45224909e-05  7.67332359e-04  2.11405953e-04],0.000796,True
0.01,0.02,-0.01,0.0,1.0,0.0,,,,0.000798,[-1.73929040e-05  8.80235582e-04  2.39641678e-04],0.000912,True
0.01,0.02,0.0,0.0,1.0,0.0,,,,0.000798,[-2.08083290e-05  1.00841010e-03  2.70280425e-04],0.001044,True
0.01,0.02,0.01,0.0,1.0,0.0,,,,0.000798,[-2.48530535e-05  1.15318954e-03  3.02941771e-04],0.001193,True
0.01,0.02,0.02,0.0,1.0,0.0,,,,0.000798,[-2.96150434e-05  1.31570233e-03  3.36964014e-04],0.001358,True
0.02,-0.02,-0.02,0.0,1.0,0.0,,,,0.000798,[ 2.85770267e-05  7.56523104e-04 -2.07509002e-04],0.000785,True
0.02,-0.02,-0.01,0.0,1.0,0.0,,,,0.000798,[ 3.41994459e-05  8.67254766e-04 -2.34997337e-04],0.000899,True
0.02,-0.02,0.0,0.0,1.0,0.0,,,,0.000798,[ 4.08829311e-05  9.92831980e-04 -2.64768695e-04],0.001028,True
0.02,-0.02,0.01,0.0,1.0,0.0,,,,0.000798,[ 4.87898522e-05  1.13451769e-03 -2.96435119e-04],0.001174,True
0.02,-0.02,0.02,0.0,1.0,0.0,,,,0.000798,[ 5.80890583e-05  1.29336458e-03 -3.29332479e-04],0.001336,True
0.02,-0.01,-0.02,0.0,1.0,0.0,,,,0.000798,[ 1.42857190e-05  7.65874186e-04 -1.03746167e-04],0.000773,True
0.02,-0.01,-0.01,0.0,1.0,0.0,,,,0.000798,[ 1.70766110e-05  8.76377479e-04 -1.17327161e-04],0.000884,True
0.02,-0.01,0.0,0.0,1.0,0.0,,,,0.000798,[ 2.03869931e-05  1.00114273e-03 -1.31980243e-04],0.00101,True
0.02,-0.01,0.01,0.0,1.0,0.0,,,,0.000798,[ 2.42938250e-05  1.14119838e-03 -1.47493743e-04],0.001151,True
0.02,-0.01,0.02,0.0,1.0,0.0,,,,0.000798,[ 2.88761253e-05  1.29730664e-03 -1.63516753e-04],0.001308,True
0.02,0.0,-0.02,0.0,1.0,0.0,,,,0.000798,[-2.71050543e-20  7.68946217e-04 -4.87890978e-19],0.000769,True
0.02,0.0,-0.01,0.0,1.0,0.0,,,,0.000798,[-9.48676901e-20  8.79355986e-04 -3.79470760e-19],0.000879,True
0.02,0.0,0.0,0.0,1.0,0.0,,,,0.000798,[ 2.71050543e-20  1.00382929e-03 -9.75781955e-19],0.001004,True
0.02,0.0,0.01,0.0,1.0,0.0,,,,0.000798,[9.48676901e-20 1.14331647e-03 0.00000000e+00],0.001143,True
0.02,0.0,0.02,0.0,1.0,0.0,,,,0.000798,[ 8.13151629e-20  1.29848361e-03 -1.08420217e-18],0.001298,True
0.02,0.01,-0.02,0.0,1.0,0.0,,,,0.000798,[-1.42857190e-05  7.65874186e-04  1.03746167e-04],0.000773,True
0.02,0.01,-0.01,0.0,1.0,0.0,,,,0.000798,[-1.70766110e-05  8.76377479e-04  1.17327161e-04],0.000884,True
0.02,0.01,0.0,0.0,1.0,0.0,,,,0.000798,[-2.03869931e-05  1.00114273e-03  1.31980243e-04],0.00101,True
0.02,0.01,0.01,0.0,1.0,0.0,,,,0.000798,[-2.42938250e-05  1.14119838e-03  1.47493743e-04],0.001151,True
0.02,0.01,0.02,0.0,1.0,0.0,,,,0.000798,[-2.88761253e-05  1.29730664e-03  1.63516753e-04],0.001308,True
0.02,0.02,-0.02,0.0,1.0,0.0,,,,0.000798,[-2.85770267e-05  7.56523104e-04  2.07509002e-04],0.000785,True
0.02,0.02,-0.01,0.0,1.0,0.0,,,,0.000798,[-3.41994459e-05  8.67254766e-04  2.34997337e-04],0.000899,True
0.02,0.02,0.0,0.0,1.0,0.0,,,,0.000798,[-4.08829311e-05  9.92831980e-04  2.64768695e-04],0.001028,True
0.02,0.02,0.01,0.0,1.0,0.0,,,,0.000798,[-4.87898522e-05  1.13451769e-03  2.96435119e-04],0.001174,True
0.02,0.02,0.02,0.0,1.0,0.0,,,,0.000798,[-5.80890583e-05  1.29336458e-03  3.29332479e-04],0.001336,True
-0.02,-0.02,-0.02,0.587767,0.809017,-0.004616,,,,0.000798,[ 0.00024222  0.00048503 -0.00021349],0.000583,True
-0.02,-0.02,-0.01,0.587767,0.809017,-0.004616,,,,0.000798,[ 0.00027678  0.00055559 -0.00024133],0.000666,True
-0.02,-0.02,0.0,0.587767,0.809017,-0.004616,,,,0.000798,[ 0.00031579  0.00063551 -0.00027143],0.00076,True
-0.02,-0.02,0.01,0.587767,0.809017,-0.004616,,,,0.000798,[ 0.00035956  0.00072558 -0.0003034 ],0.000865,True
-0.02,-0.02,0.02,0.587767,0.809017,-0.004616,,,,0.000798,[ 0.00040837  0.00082642 -0.00033656],0.000981,True
-0.02,-0.01,-0.02,0.587767,0.809017,-0.004616,,,,0.000798,[ 0.00025532  0.00049613 -0.00014691],0.000577,True
-0.02,-0.01,-0.01,0.587767,0.809017,-0.004616,,,,0.000798,[ 0.00029249  0.00056748 -0.00016589],0.00066,True
-0.02,-0.01,0.0,0.587767,0.809017,-0.004616,,,,0.000798,[ 0.0003346   0.00064798 -0.00018638],0.000753,True
-0.02,-0.01,0.01,0.587767,0.809017,-0.004616,,,,0.000798,[ 0.00038208  0.00073828 -0.00020811],0.000857,True
-0.02,-0.01,0.02,0.587767,0.809017,-0.004616,,,,0.000798,[ 0.00043525  0.00083886 -0.00023059],0.000973,True
-0.02,0.0,-0.02,0.587767,0.809017,-0.004616,,,,0.000798,[ 2.65928918e-04  5.03285930e-04 -7.94555975e-05],0.000575,True
-0.02,0.0,-0.01,0.587767,0.809017,-0.004616,,,,0.000798,[ 3.05181989e-04  5.75550650e-04 -8.96307276e-05],0.000658,True
-0.02,0.0,0.0,0.587767,0.809017,-0.004616,,,,0.000798,[ 0.00034977  0.00065702 -0.00010063],0.000751,True
-0.02,0.0,0.01,0.587767,0.809017,-0.004616,,,,0.000798,[ 0.00040016  0.00074832 -0.00011232],0.000856,True
-0.02,0.0,0.02,0.587767,0.809017,-0.004616,,,,0.000798,[ 0.00045676  0.00084988 -0.00012444],0.000973,True
-0.02,0.01,-0.02,0.587767,0.809017,-0.004616,,,,0.000798,[ 2.74016679e-04  5.06419735e-04 -1.11030563e-05],0.000576,True
-0.02,0.01,-0.01,0.587767,0.809017,-0.004616,,,,0.000798,[ 3.14841464e-04  5.79722850e-04 -1.23049698e-05],0.00066,True
-0.02,0.01,0.0,0.587767,0.809017,-0.004616,,,,0.000798,[ 3.61290257e-04  6.62541457e-04 -1.36185796e-05],0.000755,True
-0.02,0.01,0.01,0.587767,0.809017,-0.004616,,,,0.000798,[ 4.13876746e-04  7.55576063e-04 -1.50375932e-05],0.000862,True
-0.02,0.01,0.02,0.587767,0.809017,-0.004616,,,,0.000798,[ 4.73045442e-04  8.59354039e-04 -1.65462388e-05],0.000981,True
-0.02,0.02,-0.02,0.587767,0.809017,-0.004616,,,,0.000798,[2.79624628e-04 5.05284380e-04 5.81406546e-05],0.00058,True
-0.02,0.02,-0.01,0.587767,0.809017,-0.004616,,,,0.000798,[3.21548527e-04 5.79673523e-04 6.62894845e-05],0.000666,True
-0.02,0.02,0.0,0.587767,0.809017,-0.004616,,,,0.000798,[3.69302665e-04 6.64130802e-04 7.51581467e-05],0.000764,True
-0.02,0.02,0.01,0.587767,0.809017,-0.004616,,,,0.000798,[4.23431927e-04 7.59535313e-04 8.46398552e-05],0.000874,True
-0.02,0.02,0.02,0.587767,0.809017,-0.004616,,,,0.000798,[4.84413126e-04 8.66630412e-04 9.45459966e-05],0.000997,True
-0.01,-0.02,-0.02,0.587767,0.809017,-0.004616,,,,0.000798,[ 0.00025487  0.00049705 -0.00018021],0.000587,True
-0.01,-0.02,-0.01,0.587767,0.809017,-0.004616,,,,0.000798,[ 0.00029116  0.00057001 -0.00020372],0.000672,True
-0.01,-0.02,0.0,0.587767,0.809017,-0.004616,,,,0.000798,[ 0.00033202  0.00065281 -0.00022916],0.000767,True
-0.01,-0.02,0.01,0.587767,0.809017,-0.004616,,,,0.000798,[ 0.00037776  0.00074629 -0.0002562 ],0.000875,True
-0.01,-0.02,0.02,0.587767,0.809017,-0.004616,,,,0.000798,[ 0.00042859  0.00085117 -0.00028425],0.000994,True
-0.01,-0.01,-0.02,0.587767,0.809017,-0.004616,,,,0.000798,[ 0.00026336  0.00050572 -0.00011166],0.000581,True
-0.01,-0.01,-0.01,0.587767,0.809017,-0.004616,,,,0.000798,[ 0.00030133  0.00057896 -0.00012594],0.000665,True
-0.01,-0.01,0.0,0.587767,0.809017,-0.004616,,,,0.000798,[ 0.0003442   0.00066171 -0.00014133],0.000759,True
-0.01,-0.01,0.01,0.587767,0.809017,-0.004616,,,,0.000798,[ 0.00039232  0.00075468 -0.0001576 ],0.000865,True
-0.01,-0.01,0.02,0.587767,0.809017,-0.004616,,,,0.000798,[ 0.00044594  0.00085839 -0.0001744 ],0.000983,True
-0.01,0.0,-0.02,0.587767,0.809017,-0.004616,,,,0.000798,[ 2.69368157e-04  5.10354754e-04 -4.27088753e-05],0.000579,True
-0.01,0.0,-0.01,0.587767,0.809017,-0.004616,,,,0.000798,[ 3.08523754e-04  5.84000300e-04 -4.78977466e-05],0.000662,True
-0.01,0.0,0.0,0.587767,0.809017,-0.004616,,,,0.000798,[ 3.52795989e-04  6.67107222e-04 -5.34640676e-05],0.000757,True
-0.01,0.0,0.01,0.587767,0.809017,-0.004616,,,,0.000798,[ 4.02569704e-04  7.60335338e-04 -5.93222978e-05],0.000862,True
-0.01,0.0,0.02,0.587767,0.809017,-0.004616,,,,0.000798,[ 4.58139010e-04  8.64159303e-04 -6.53341926e-05],0.00098,True
-0.01,0.01,-0.02,0.587767,0.809017,-0.004616,,,,0.000798,[2.72859766e-04 5.10975486e-04 2.66811961e-05],0.00058,True
-0.01,0.01,-0.01,0.587767,0.809017,-0.004616,,,,0.000798,[3.12698939e-04 5.85168251e-04 3.06606019e-05],0.000664,True
-0.01,0.01,0.0,0.587767,0.809017,-0.004616,,,,0.000798,[3.57782212e-04 6.69041940e-04 3.50075404e-05],0.00076,True
-0.01,0.01,0.01,0.587767,0.809017,-0.004616,,,,0.000798,[4.08513329e-04 7.63321502e-04 3.96711872e-05],0.000867,True
-0.01,0.01,0.02,0.587767,0.809017,-0.004616,,,,0.000798,[4.65205814e-04 8.68559372e-04 4.45602539e-05],0.000986,True
-0.01,0.02,-0.02,0.587767,0.809017,-0.004616,,,,0.000798,[2.73875507e-04 5.07410302e-04 9.65282318e-05],0.000585,True
